source,question
The maximum depth at this location shall be uf Irish Water may facilitate or accommodate relocation of the inspection chamber where the anticipated or design depth at that location is greater that meters,Where the anticipated or design depth at that location is greater than meters?
In these instances the chamber may be elocated or moved back towards the dwelling until depth of is achieved provided the distance of the inspection chamber from the boundary of the Premises does ot exceed achieving the depth determines the final location for the inspection chamber,What is the final location of the inspection chamber??
It should ot be assumed that once approval for the relocation is granted that it applies to all dwellings within the respective Self Lay Development,What is a Self Lay Development??
Where it is envisaged that there is justifiable engineering reason for re locating the inspection chambers to achieve the maximum depth of Developers shall indicate on layout plan the location and applica ble house umbers within the development where this applies,Where it is envisaged that there is justifiable engineering reason for re locating the inspection chambers to achieve the maximum depth?
uf If the depth of the service connection exceeds Manhole minimum mm plan area or diameter shall be provided,What is the depth of the service connection??
uf proprietary inspection chamber may be used provided the minimum internal chamber dimension is either mm or diameter irrespective of depth up to meters,What is the minimum internal chamber dimension??
uf Where there is justifiable engineering reason such as physical space restriction or constraint Irish Water may allow the installation of smaller inspecti on chambers than the square or circular units for depths up to,Where there is justifiable engineering reason such as physical space restriction or constraint?
These are subject to specific rish Water approval in all IW CDS Revision instances and shall only apply to specifi locations within Development,What is a rish Water Revision??
It should ot be assumed that once approval is granted for the smaller sized units that this applies to all dwellings within the respective Self Lay Development,What is a Self Lay Development??
Were it is envisaged that there is justifiable engineering reason such as physical restriction or constraint for downsizing the foul inspection chambers Developers shall indicate on layout plan the location and applicable house numbers within the development where this applies,What is the technical reason for downsizing the foul inspection chambers??
uf In high density developments Duplex or Terraced housing wastewater drains from maximum of two units can be combined into one inspection chamber in instances where there are space constraints,What is the size of the inspection chamber??
uf In high density developments an inspection chamber shall be located within of the private boundary where possible,What is a private inspection chamber??
However in instances where the property does ot have garden or private parking space within the curtilage of the property the inspection chamber should be located in the footway or in parking area immediately outside the property subject to approval by Irish Water,What should an inspection chamber be located in the footway or in parking area immediately outside the property??
uf Covers and fram es shall be suitable for the relevant road and traffic conditions and provided in accordance with IS EN,What is IS ENVIRONMENTAL CONTROL??
uf Long radius bends up to degrees may be installed on the service connection downstream of the private side inspection chambers to facilit ate the transition from horizontal to vertical to allow the service connection to connect to the branch connection on the Network in accordance with the requirements of Section,What is a uf Long radius bend??
Manhole General Manhole should generally be provided as the means of access to the Works and particularly where the depth from the surface to the crown of the pipe is greater than there are two or more upstream pipes each serving more than one propert or the distance between Manhole would otherwise be greater than for Sewer of diameter and above and where the Sewer size is mm diameter,What is the distance between Manhole and the Sewer??
At the head of sewer lengths spection chamber access of diameter or of mm by plan area may be acceptable where the pipe is of small diameter the depth to invert of this pipe is less than and o part of the pipe is more than from the adjacent access point,What is the depth to invert of this pipe??
If the Manhole location is on carriageway cover with higher load bearing capacity than the standard IS EN cover should be used,What if the Manhole location is on carriageway cover with higher load bearing capacity?
A Manhole in general shall ot be located in carriageway situations where traffic frequency and loading is anticipated to be high in industrial developments where large umbers of HGV vehicles with gross vehicle weight in excess of tonnes are expected than would occur on typical residential estate distributor road,What would occur on typical residential estate distributor road?
Manhole are to be fitted with step rungs or fixed adders as required depending on the depth of the Manhole and to allow safe self egress,What is the depth of the Manhole??
Step rungs are to be provided in Manhole where the depth from ground to the soffit of the pipe is up to Fixed ladders are required in Manhole where the depth fr om ground to the soffit of the pipe exceeds depth of and up to,What ladders are required in Manhole where the depth from ground to the soffit of the pipe is up to Fixed ladders?
site specific engineering solution shall be provided to Irish Water for review and approval for access arrangements in Manhole where the depth between ground and the soffit of he pipe exceeds Site specific risks are to be assessed relating to access to and egress from Manhole during construction as well as during the operational phase and design mitigation measures implemented as required,What is site specific engineering solution to be provided to Irish Water for review and approval??
All Manhole entry and egress is to be carried out using safety access plan incorporating the use of safety equipment tri pod and winch,What is a safety access plan??
The designer must ensure that the general principles of prevention as well as relevant Health and Safety legislation are taken into account when selecting Manhole covers and frames in respect of manual handling opening size for access egress and rescue etc,What is the design of Manhole covers and frames??
Proprietary lifting equipment for covers should be provided to allow safe lifting of covers and this should be consistent to avoid risk of accident due to misuse,What should be provided to prevent risk of accident due to misuse?
Backdrop Manhole shall be provided where there is differential in depth between the incoming and outgoing Sewer inverts of or more,What is a Backdrop Manhole??
These backdrop Manhole shall be provided with horizontal rodding eye internally,What is a horizontal rodding eye??
Where the back drop from the Sewer is constructed at right angles to the vertical plane or where the drop exceeds mm vertical rodding pipe from ground level complete with surface cover and frame to IS etc,What is the back drop from the Sewer??
Where there is differential in depth between the incoming and outgoing Sewer inverts of less than cascade Manhole shall be provided to Irish Water equirements or the benching shall be pro filed to ensure smooth flow rom the inlet to the outlet pipe,What shall be provided to Irish Water equirements??
Manhole shall be constructed of the following materials In situ concrete in accordance with IS EN aggregate size in accordance with IS EN with minimum wall and floor thickness of for Manhole depths up to and or more IW CDS Revision when the Manhole depth exceeds complete with cast in situ concrete roof slab minimum thickness of depending on Manhole dimensions reinforced with high tensile steel bar reinforcement with minimum concrete cover,What is required of a Manhole??
Precast concrete Manhole shall only be provided where the water table is low,What is a Precast Concrete Manhole??
They shall ot be used where there is perched water table where the Sewer is located ext to river lake or other water body and within areas that are identified by the Office of Public Works Catchment Flood Risk Assessment and Management CFRAM with flood risk of in years,Where is the Sewer located??
The precast wall units shall be provided with rubber sealing ring gasket between units complying with the requirements of IS EN and IS subject to specific approval of Irish Water complete with mm minimum thickness cast in situ formed concrete surround in accordance with IS EN aggregate size in accordance with IS EN,What are the requirements of IS EN and IS??
The precast concrete Manhole shall have either pre cast concrete minimum thickness beneath channel or cast in situ concrete base minimum thickness beneath channel,What is the precast concrete Manhole??
It shall be also provided with either pre cast minimum thickness or cast in situ concrete roof slab minimum thickness,What is the roof slab minimum thickness??
oth the base and roof slab shall be constructed of concrete in accordance with IS EN aggregate size in accordance with IS EN reinforced with high tensile steel bar reinforcement wit minimum concrete cover,What shall the base and roof slab be constructed of??
The concrete surround to the precast concrete wall units shall only be omitted if the Manhole ring has wall thicknes of or more and where proprietary watertight sealing system is provided as integral part of the Manhole wall system up to maximum depth of The omission of the concrete surround shall only apply if the wall unit is not penetrated through with proprietary fixings which could result in the water tightness of the unit being compromised,What is the concrete surround to the precast concrete wall units??
High density high strength mm solid concrete block work walls only in circumst ances where the depth of the Sewer is less than the use of block work in deeper Manhole will be considered but such use will require detailed structural design and agreement with Irish Water,What is the depth of the Sewer??
The blocks shall be bedded in mortar minimum strength to IS EN Part,What is the minimum mortar strength??
Block work complying with the requirements of IS EN Part shall be flush pointed and ot plastered internally with internal lining of solid engineering brick to IS EN Part to height of above the bench ing bonded to the concrete block work,What is required to comply with IS EN Part??
The block walls to be supported on thick concrete floor with reinforced concrete roof of minimum thickness both cast with in situ concrete in accordance with IS EN aggregate size in accordance with IS EN reinforced with high tensile steel bar reinforcement with minimum concrete cover,What is the minimum thickness of the block walls??
IW CDS Revision Manhole Dimensions Manhole Dimensions depend on the size of the main Sewer and the umber of pipes accommodated in the Manhole,What is a Manhole Dimension??
The internal dimensions of Manhole will vary with the pipe size the umber of pipes entering the Manhole the direction of entry of the pipes relative to the outlet pipe the variation in depth between the inlet and outlet pipes and the depth of the Manhole itself,What is the depth of the Manhole itself??
Manhole shall have an open channel allowing smooth flow between the inlet pipe and the exit pipe,What is a manhole??
safety chain shall be fitted on the downstream pipe where it exceeds diameter subject to health and safety requirements,What are health and safety requirements??
As guide the following ominal internal dimensions of Manhole will apply Nominal diameter of largest pipe in Manhole mm Minimum ominal internal dimension of Manhole mm Less than The internal dimensions shown above of the Manhole are minimum dimensions and shall be increased to accommodate bends and multiple inlet layouts to ensure safe working area,What are the ominal internal dimensions of Manhole??
It should be oted that this Code of Practice relates to pipe sizes of mm diam eter and below,What is this Code of Practice??
Manhole Bases Manhole bases shall be constructed of cast in situ concrete in accordance with IS EN aggregate size in accordance with IS EN with minimum thickness of,What is the minimum thickness of the manhole base??
Thicker Manhole bases are required for Sewer in excess of deep or where the Manhole size is greater than the standard minimum size outlined above,What is the minimum size of a Manhole??
Where precast concrete rings are used with cast in situ concrete bases the bottom ring unit shall be cas into the base slab to ensure adequate sealing of the wall base junction,What is the bottom ring unit??
Manhole Walls Manhole Walls shall be constructed of cast in situ concrete concrete in accordance with IS EN aggregate size in accordance with IS EN with minimum thickness of,What is the minimum thickness of a manhole wall??
Thicker Manhole walls are required for Sewer in IW CDS Revision excess of deep where the size is greater than the standard minimum size,What is the minimum size of a manhole??
Cast in situ concrete Manhole shall be used in all locations where there is perched ater table where the Sewer is located ext to river lake or other water body and within areas that are identified by the Office of Public Works Catchment Flood Risk Assessment and Management CFRAM with flood risk of in years,What is the Flood Risk Assessment and Management??
Alternatively precast concrete ring units shall only be used where the water table is low,What is the water table in a ring unit??
The precast concrete units shall comply with the requirements of IS EN and IS complete with cast in situ formed concrete surround of minimum thickness of mm aggregate size,What are the requirements of IS EN and IS??
The concrete surround to the precast concrete wall units shall only be omitted if the Manhole ring has wall thickness of or more and where proprietary watertight sealing system is provided as an integral part of the Manhole wall system up to maximum depth of The omission of the concrete surround shall only apply if the wall unit is ot penetrated through with proprietary fixings which could result in the water tightness of the unit being compromised,What is the omission of the concrete surround to the precast concrete wall units??
In shallow Manhole less than deep high density high strength mm solid concrete block work walls may be used,What is the difference between mm and mm solid concrete block work walls??
The blocks shall be bedded in mortar minimum strength to IS EN Part,What is the minimum mortar strength??
Manhole Roofs Manhole roofs should consist of reinforced concrete slab of situ concrete in accordance with IS EN aggregate size in accordance with IS EN with minimum thickness of designed to carry all live and dead loads,What should Manhole Roofs consist of??
Alternatively precast concrete roof slabs with inimum thickness of may be used in compliance with IS EN and IS,What is the thickness of precast concrete roof slabs??
This approach would be the preferable option where pre cast concrete ring units are used as Manhole walls,What would you do if pre cast concrete ring units were used as Manhole walls??
An access opening shall be formed in the Manhole roof slabs,What is an access opening in the Manhole roof slabs??
Circular Manhole openings of mm iameter may be used if the Manhole cover is circular,What is a Manhole cover??
The opening in the roof slab shall be formed over the benching with the widest width at invert level,What is the width of the opening in the roof slab??
Manhole Inverts and Benching Manhole inverts should be fitted with smooth flow channels to accommodate the flow from the inlet pipe to the outlet pipe,What is the flow from the inlet pipe to the outlet pipe??
For straight through Manhole with similar size inlet and outlet Sewer an open channel or half round pipe section bedded in cement sand mortar may be used,What is a straight through Manhole with similar size inlet and outlet Sewer?
Otherwise the Manhole invert should be formed with cast in situ concrete concrete in accordance with IS EN aggregate size in accordance with IS EN finished with cement sand mortar,What should the invert be made of??
Where pre cast concrete Manhole inverts units with multiple channels are used any redundant channels shall be blanked by scabbling the channel surfaces filling with C concrete and finishing the surface to match the existing invert,What to do if redundant channels are blanked?
Where there is more than one incoming Sewer discharging to the Manhole the benching shall be so shaped as to guide the flow in the direction of the outgoing Sewer,Where there is more than one incoming Sewer?
The benching shall IW CDS Revision be bro ught up vertically at the flow channel to the level of the crown of the incoming Sewer,What is the level of the crown of the incoming Sewer??
The benching shall slope away from the vertical edge at slope of,What slope of benching shall the benching slope at??
The soffit crowns of the incoming and outgoing Sewer shall be kept at the same level,What is the soffit crowns of the incoming and outgoing Sewer??
The flow channel shall be sloped gradually and evenly between the incoming and outgoing Sewer,What is the flow channel slope??
Staggered toe hole rebates wide high deep shall be provided in vertical invert benching at ce tres in channels of sewers of mm and great er to allow access from the benching to the channel invert,What shall be provided in vertical invert benching at ce tres?
The distance between the top of the benching and the soffit of the main roof slab supporting the shaft structure should be ot less than The minimum internal dimensions of the access shaft shall be by or diameter,What is the minimum internal dimensions of the access shaft??
The walls shall be formed in reinforced concrete in accordance with IS EN aggregate size in accordance with IS EN cast monolithic with the main chamber roof slab,What is the main chamber roof slab??
The supporting roof slab shall be formed in reinforced concrete in accordance with IS EN aggregate size in accordance with IS EN and shall be mm thick,What is the supporting roof slab??
Alternatively approved precast concrete ring units complying with the requirements of IS EN and IS may be used as Manhole shafts complete with a cast in situ concrete formed surround of minimum thickness of concrete in accordance with IS EN aggregate size in accordance with IS EN,What are the requirements of IS EN and IS??
Rocker Pipes Rocker pipes shall be provided for rigid pipe at the entry to and exit from Manhole to form flexible joint upstream and downstream of the Manhole structure,What shall Rocker pipes be provided for rigid pipe at the entry to and exit from Manhole?
The length of the ext pipe the rocke pipe shall be varied in relation to the pipe diameter with lengths of for pipes of mm to diameter,What is the length of the ext pipe??
Where the pipeline is installed in ground which is varied or unstable multiple roc ker pipes may be required,Where the pipeline is installed in ground which is varied or unstable?
If flexible pipes are being used rocker pipes are ot required,What is a rocker pipe??
Manhole Covers and Frames Manhole covers and frames shall comply with IS EN and BS and be of suitable load grade Class or for heavy trafficked roads as required on case by case assessment basis with clear access opening of square or circular,What is required of Manhole Covers and Frames??
Covers shall be selected and designed to prevent the cover unit falling into the chamber,What is a cover unit??
Covers and frames shall be designed to be safely lifted with minimal risk of manual handling injury suitable for use with lifting equipment and arranged to ensure IW CDS Revision rescue procedures are ot impeded,What should IW CDS Revision rescue procedures be??
All covers shall be of on rock design and closed keyways shall be provided in each cover,What shall cover on rock design be??
Manhole covers may be single units or double triangular the double triangular units shall incorporate closed key in each unit,What is a manhole cover??
Hinged Manhole covers shall incorporate locking mechanism to keep the unit upright when open,What is the locking mechanism for Hinged Manhole covers??
Manhole covers shall be set in position flush with the finished ground surface whether road pavement or open ground and shall have clear working space around the opening,What shall cover the opening of the manhole??
The Manhole cover frame shall be set in rapid hardening cementitious epoxy resin or polyester resin mortar,What should the frame be set in??
The mortar shall have minimum working time of minutes and shall reach minimum compressive strength of mm and min imum tensile strength of mm within hours of mixing,What is the minimum compressive strength of mm and min imum tensile strength??
Manhole Steps Manhole steps shall provided in Manhole where the depth from ground to soffit of the sewer does ot exceed and in shallow chambers,What is a Manhole Step??
The vertical distance between the top of the Manhole cover and the first step in the Manhole shall ot exceed,What is the vertical distance between the manhole cover and the first step in the Manhole??
The distance between the bottom step and the benching shall ot exceed,What is the distance between the bottom step and the benching??
The centre face of the step rung shall be from the wall face within the Manhole to align it with the roof slab opening,What is the angle of the step rung??
Ladders Ladders are to be provided in Manhole where the depth from ground level to soffit of the sewer pipe exce eds of Such ixed ladders within Manhole shall comply with IS EN,Why Ladders in Manhole??
The vertical distance between the top of the Manhole cover and the first step in the Manhole shall ot exceed,What is the vertical distance between the manhole cover and the first step in the Manhole??
The distance between the bottom ladder rung and the benching shall ot exceed,What is the distance between the ladder rung and the benching??
Ladder stringers should be adequately supported from the Manhole walls at intervals of ot more than Stringers should be bolted to the support cleats to facilitate renewal,Why stringers should be bolted to the support cleats??
Alternatively tainless steel fixed ladders may be required in accordance with Irish Water requirements,What is the Irish Water requirement for ladders??
The tops of ladders shall be provided with proprietary fixings to extend the ladder above ground level if deemed ecessary,What is deemed necessary to extend a ladder above ground level?
The centre line of the ladder rung shall be from the wall face within the Manhole to align it ith the roof slab opening,What is the roof slab opening??
Manhole in excess of depth shall be the subject of detailed design submission for agreement with Irish Water in advance of construction,What is a detailed design submission for agreement with Irish Water?
The Manholes shall be provided with intermediate landing platform as part of an engineered access solution and full details of the landing platform shall also be provided for agreement with Irish Water,What are the requirements of the landing platform??
Access to Manhole is regarded as confined space ccess and shall be subject to afety access plan,What is a confined space access plan??
Gravity ewer Pipe Material Types The types and fittings outlined herein shall be used in the construction of the Gravity Sewers,What Type of Gravity Sewer Pipe Material Types?
Pipe material shall ot change between Manhole The list below does ot apply to pipes installed by pipe jacking or micro tunnelling,What does ot apply to pipes installed by pipe jacking?
Concrete Concrete Sewer pipes with spigot and socket joints and rubber ring fittings shall comply with IS EN BS Part and IS or equivalent standard strength Class with minimum crushing loads in accordance with Table of BS,What is Concrete Sewer pipes with spigot and socket joints??
All pipes and fittings shall have gasket type joints of spigot and socket or rebated form,What is a spigot and socket??
Pipes shall be of Stiffness Class SN and to be capable of demonstrating jetting resistance of psi Bar without damage when tested in accordance with Section of WIS,What is the jetting resistance of psi Bar??
Pipe fittings of Stiffness Class SN stiffness class complying to IS EN will be acceptable if SN stiffness class fittings are ot manufactured by the pipe manufacturer Unplasticised PVC Unplasticised PVC pipes shall comply with the provisions IS EN,What is a pipe fitting of SN stiffness class??
Provision for jetting shall be based on the WRc Sewer Jetting Code of Practice June,What is the Sewer Jetting Code of Practice??
Pipes to be capable of resisting maximum jetting pump pressure of psi Bar without IW CDS Revision damage,What is a psi bar??
Pipe fittings of SN stiffness class complying to IS EN will be acceptable if SN stiffness class fittings are ot manufactured by the pipe manufacturer Other The use of alterna tive pipe types and materials will require the prior written agreement of Irish Water,What is a SN stiffness class fitting??
Rising Main Pipe Material Types The pipes types and fittings outlined herein shall be used in the construction of Rising Main Pipe material shall ot change along the Rising Main length,What are the pipes types and fittings outlined herein??
Ductile iron pipes may require plastic sheeting protection in adverse ground condit ions in accordance with BS Polyethyle e Polyethylene pipe and fittings for Wastewater shall comply with the requirements of IS EN,What are the requirements of IS EN??
Polyethylene fittings including fusion joints and electro fusion fittings shall comply with the provisions of IS EN Part Polyethylene pipes sh all also conform to the following UK Water Industry Specification documents uf WIS Specification for the Fusion Jointing of Polyethylene Pressure Pipeline Systems Using PE and PE materials uf IGN The Choice of Pressure Rating for Polyethylene Pipe Systems for Water Supply and Sewer age Duties uf IGN Pressure Testing of Pressure Pipes and Fittings for use by Public Water Supplies,What are the requirements of IS EN Part Polyethylene fittings??
Rising Main Discharge Header Manhole A Rising Main discharge Manhole or header Manhole shall be provided at the discharge point of Rising Main,What is a Rising Main discharge Header Manhole??
This Manhole shall be set off from the Network and it shall be linked to the Network by length of Gravity Sewer of appropriate size to carry the Rising Main maximum pumped flow,What is the Rising Main maximum pumped flow??
The Gravity Sewer shall be connected into the Network at Manhole when the Rising Main flow is from Type or Pumping Station See Part,What happens when the Rising Main flow is from Type or Pumping Station?
In the case of low flow discharge volumes the connection of the Gravity Sewer to the Network may be provided by branch connection,What is the Gravity Sewer Connection to the Network??
The header Manhole shall be constructed in either cast in situ concrete or pre cast concrete rings both as described above in Section above,What should the header Manhole be constructed in??
The rising main pipe shall terminate outside the wall of the header Manhole with IW CDS Revision stub rocker pipe arrangemen straight length of pipe and flexible coupling,What is a stub rocker pipe??
The straight length of rocker pipe shall be connected by flexible coupling to length of plain flanged ductile iron pipe which shall be built into the wall of the Manhole complete with puddle flange,What shall be connected to length of plain flanged ductile iron pipe?
The flanged end of this flanged plain pipe located ithin the Manhole shall be fitted with degree all flanged bend and flanged bell mouth to allow the rising main to discharge vertically within the Manhole,What is a flanged plain pipe??
The invert of the Manhole shall be provided with internal benching formed to allow the Risin Main discharge volume to be directed to the outlet gravity discharge Sewer,What is the invert of the Manhole??
The benching shall be formed to ensure smooth flow transition between the Rising Main bell mouth discharge and the outlet Sewer,What is the flow transition between the Rising Main bell mouth discharge and the outlet Sewer??
The Manhole invert shall be formed with cast in situ concrete in accordance with IS EN aggregate size in accordance with IS EN and finished with cement sand mortar perfectly smooth,What is a manhole invert??
The benching shall slope at gradient of from the bell mouth,What is the gradient of the benching??
In all areas the header Manhole shall be provided with diameter vent pipe linked to vent stack and it shall be fitted with sealed manhole cover and frame,What shall the header Manhole be fitted with??
The vent pipe shall be built into the wall of the Manhole at high level and sea led watertight within the wall,What shall be built into the wall of the Manhole at high level and watertight within the wall?
The activated carbon filter shall be of robust proprietary manufacture and sized to have minimum retention time of seconds at maximum flow rate,What is the minimum retention time of seconds at maximum flow rate??
Pipe Joints General Pipe joints shall be in accordance with the manufacturer requirements for the pipe material,What is a Pipe Joint??
Pipe joints will generally be one of the following uf Push in rubber ring joint uf Bolted flanged joint uf Flexible mechanical coupling with rotective coating uf Fusion welded joints where the site fusion jointing shall be strictly in accordance with UK WIS Specification for Fusion Jointing of Polyethylene Pressure Pipeline Systems Using PE and PE Materials and with BS ISO Plastic Pipes and Fittings Butt Fusion Jointing Procedures for Polyethylene PE Piping Systems,What is the fusion jointing procedure for Polyethylene PE Piping Systems??
uf Equipment used for butt fusion and electrofusion welding shall be in accordance with BS ISO Plastic Pipe Fittings Equipment for Fusion Jointing Polyethylene Pipe Systems Part Butt Fusion Part Electro Fusion,What is BS ISO Plastic Pipe Fittings Equipment for Fusion Jointing?
uf Equipment used for butt fusion and electrofusion welding shall have CE Certification and shall be calibrated on monthly basis,What equipment shall be used for butt fusion and electrofusion welding??
IW CDS Revision Bolted flanged joint shall have raised face flanges complete with uts and bolts to IS EN ISO and double metal washers to BS,What is a flanged joint??
Flange assemblies including uts bolts washers d gaskets to be designed to meet working and test pressure of bar and bar respectively,What is a flange assembly??
All pipes and joints will be subjected to appropriate pressure tests as outlined in Section and Section below,What pressure tests will be carried out??
Jointing of Polyethylene Pipes In advance of commencing pipe installation on site the Developer shall provide specific ethod statement to the Irish Water field engineer for review assessment outlining the butt fusion and electrof usion jointing processes for polyethylene pipes that will be carried out on site,What is a butt fusion and electrof usion jointing process??
In addition the Developer shall also follow the manufacturer requirements but these shall ot take precedence over good site practices,What is the Developer's responsibility??
Butt fusion d electro fusion jointing of polyethylene pipes shall only be carried out by appropriately trained and experienced operatives in possession of current relevant Training Certificate,What is a Training Certificate??
Training should be certified and equivalent to City and Guilds qualific ations,What should be certified and equivalent??
Jointing personnel sh all have and be able to confirm minimum of one year experience in successfully completing pipe welding under live construction conditions,What experience do jointing personnel have??
Jointing shall be completed using fully automatic or pre approved jointing machi e rigs in accordance with the manufacturer instructions,What is a jointing rig??
In relation to electro fusion jointing the jointing machine shall incorporate remote inspection monitoring system which allows for real time inspection of the weld integrity or data download facility,What is a remote inspection monitoring system??
The identity of the polyethylene PE PE pipeline manufacturer shall be made known to Irish Water prior to commencement of the installation,What is the identity of the polyethylene PE PE pipeline manufacturer??
Each joint shall be clearly marked with the joint logged automatically on the jointing machine in format to the satisfaction of the Irish Water field engineer,What is the format of the joint??
printout of the joint details with an as built drawi g complete with GPS location and geo located photograph of each joint shall be provided and retained for quality assurance purposes,What shall the joint details look like??
In addition to the data log report the welders own record ledger must also be maintained and provided as part of the uality assurance documentation,What is the welders own record ledger??
All fusion welds shall be undertaken in an enclosure tent to minimise the effects of wind and rain on the jointing process and to prevent contamination from wind borne dust,What is a weld enclosure tent??
All personnel carrying out pipe jointing hall have appropriate training in health and safety and shall follow all safety procedures laid down for welding,What does a pipe jointing hall do??
Where it is deemed ecessary by the field engineer Irish Water may require or instruct the Developer to procure an audit from an independent accredited auditor,Where it is deemed necessary by the field engineer Irish Water may require or instruct the Developer to procure an audit from an independent accredited auditor?
The audit reports from this independent auditor shall be provided to the Irish Water field engineer on regular basis,What are the audit reports from this independent auditor??
Each installation and welding team shall also be audit ed by the Developer Construction Engineer on weekly basis or more frequently if required by the Irish Water field engineer,What is the Developer Construction Engineer audited for??
All of these audits will use standard checklist to ensure that all the correct equipment and working practices are being utili sed,What is a standard checklist??
Weekly equipment checks and regular supervision of the welding equipment shall be carried out by the Developer and reports on these checks will be inspected by the Irish Water ield engineer,What checks will be carried out by the Developer??
The destructive weld testing and analysis shall be carried out by specialist and accredited testing organisation who will take the samples deliver the sample for testing test the joint and report on the result thus ensuring that chain of custody is maintained on all test samples,What is the chain of custody on all test samples??
Joint tests complying with WIS shall be carried out for each pipe diameter containing electro fusion welds used by the Developer contractor personnel and welded by the equipment to be used for Works,What shall be performed for each pipe diameter containing electro fusion welding?
These shall be in accordance with ISO for assembly socket fittings in accordance with ISO for assembly sock et fittings and in accordance with ISO for saddle assemblies,What shall be the sock et fittings??
Where possible least strips should be taken from welded coupler for testing with lower umber of strips taken for smaller diameter units,What should be taken from welded coupler for testing??
The tests shall be undertaken by an independent laboratory accredited by the Irish National Accreditation Board or equivalent,What is an independent laboratory accredited by the Irish National Accreditation Board??
Reports in format accept able to Irish Water on these tests shall be provided to the Irish Water field engineer for review,What is the Irish Water field engineer for review on these tests??
Prior to the commencement of polyethylene pipe laying works pipe joint sample testing shall be carried out for all pipe sizes to be used in the Works,What is pipe joint sample testing??
On initial sample test butt fusion weld per designated butt fusion crew and one initial sample test electro fusion weld per designated electro fusion crew shall be cut and taken for testing,What is a test butt fusion weld??
These shall be taken for each pipe size per designated crew on pip es that are to form part of the Works,What are the pipe sizes per designated crew on??
The weld joint chosen for testing will be as indicated by the Irish Water field engineer,What is the weld joint chosen for testing??
The rate of testing of th joints shall be as follows uf minimum of one butt fusion weld per designated butt fusion crew per week and one electrofusion weld per designated electrofusion crew per week shall be cut out from the polyethylene pipes associated with the Works and tested,What is the rate of testing of th joints??
The sample test frequency is additional to the works te st frequency outlined above,What is the sample test frequency??
uf In addition to the initial and weekly weld joint testing outlined above testing of the installed pipe joints shall be undertaken on joints as selected by the Irish Water field engineer,What is a weld joint test??
The frequency of joints testing on the olyethylene pressure main that has been installed in the Works shall be at least one test per joints made on site with minimum of five tests in smaller developments or as directed by the field engineer,What is the frequency of joints testing on the pressure main that has been installed in the Works??
All test shall be carried out at the expense of the Developer and this shall include for all costs associated with the taking of testing analysis of and transportation of samples as well as the required reporting of the test results,What shall be the Developer's responsibility??
The Contractor shall arrange for the selected installed joint samples to be tested in accordance with WIS IS EN Part and with ISO IS ISO and ISO as appropriate and listed above by an accredited laboratory accreditation by the Irish National Accreditation Board or quivalent and test report in format required by Irish Water shall be provided to Irish Water field inspectors within week of the sample joint being taken,What is the test report format required by Irish Water??
The report should indicate the test result the failure mode of samples Wasted Specimens the specific joint identification data Welders Name Joint Number Weld Date Machine Date that the sample joi t was received by Testing Facility on the test report and results along with clear photos of the joints prior to sampling with the rish Water field engineer signature present on the pipe photos of the tested wasted specimens and in addition particul ar photos of any individual wasted specimens that were classified as failure,What was the failure mode of samples??
Where welds have failed the Contractor shall excavate cut out and provide the welds carried out immediately before and immediately after the failed joint for additional testing,Where welds have failed the Contractor shall excavate cut out?
The Contractor shall ote that if the results of any of the se two additional weld tests indicate that weld is ot in compliance with WIS weld failure then the IW CDS Revision Developer shall be required at his her own expense remove and replace all welds from the date of the last verifiable weld test found to be in compliance with WIS performed by the particular welding machine and designated crew who completed the weld that failed,What shall the IW CDS Revision Developer do if the results of any of the se two additional weld tests indicate ot in compliance with WIS??
If any additional work undertaken by designated crew is persistently at fault they shall be prohibited from undertaking further welds until re training shall be carried out,What happens if a crew is persistently at fault??
All butt fusion joints shall be de beaded and the bead referenced and kept for inspect ion,What is the bead reference??
Beads shall be examined upon removal for signs of defects or splitting along the length of the bead joint,What happens when a bead is removed??
For butt fusion welding completed welds shall be de beaded and the weld bead shall be inspected on site by the welding crew,What is the welding crew responsible for??
Beads shall be la belled bagged and stored by the Developer contractor and access shall be provided to the Irish Water field engineer to inspect the weld beads when requested,When will the Developer contractor inspect the weld beads??
The provision of the sample and all costs associated with their provision including restoring the pipe to service and reinstatement will be borne by the Developer,What are the costs associated with the pipe to service and reinstatement??
The sample welds thus stored shall remain the property of Irish Water and shall be made available to the Irish Water field inspectors at any time for testing should it be so directed,What is the purpose of the sample welds??
Pipe coils will only be permitted to be used for pipe diameters of OD and below,What is the pipe diameter of OD and below??
Hydraulic re rounding clamps and steel re rounding inserts must be used to permit straight length of pipe to be electrofusion jointed to the ends of the coil,What is electrofusion jointed to the ends of the coil??
The pipe profile within the area of the coil to be jointed shall be re rounded to within the limits of ovality prescribed by BS EN,What is a re rounded pipe profile??
Two lengths of straight stick PE pipe min length shall be used to join the coils together,What length of PE pipe shall be used to join the coils together??
IW CDS Revision Rising Main Fittings General All fittings to Wastewater Rising Main including sluice valves scour valves air valves and meters shall be operable without the eed to enter Chambers or other confined spaces,What Does Rising Main Fittings Do?
Sluice Valves Sluice valves shall be double flanged ductile iron resilient seated valves suitable for use in Wastewater pipework and Rising Main They shall comply with the requirements of BS Parts and EN Part and and they shall have the CE marking in accordance with the EU Construction Products Regulations No,What are the requirements of Sluice Valves??
Sluice valves shall be suitable to be buried in the ground and shall have minimum design life of years,What is the design life of a sluice valve??
